			調査対象URL				"項目の説明：
階層：<数字>/<*>/<**>
<アルファベット>は「NISTEP-DSlink-Target」シートのカラム番号に相当。"	1. オートコンプリート	**サジェスト	**スペルチェック	2.ベストファースト = O:ソート	* 関連度	* 人気度	* 日付	* フォーマット（ソースの）	* パーソナライズ	* 多様性（多様性(表現の多様性の吸収など)アルゴリズム）	**スコア	3. 横断検索	**エンジン（マルチエンジン）	4. ファセット型ナビ = ファセット型ナビ	L:ビルダー形式GUI	5.詳細検索 = K:詳細検索	J:検索box	6.パーソナライズ	X:login機能	**適合性のチューニング	**利用状況、利用コンテキスト	**訪問済み、履歴	**タグ、メモ、コメント	7.ページネーション = ページネーション	Q:全件表示	8. 構造化された結果（結果にふさわしい表示、Wolfram Alphaの例）	**ハイライト	**クラスタリング	**テキスト解析	V:データプロット	U:マップ	S:サムネイル	削除項目	9. アクション可能な結果（computable）	W:ロケータ/スライダ等、GUIによる指定	**パールグローイング（検索結果から次のクエリー（検索語）を導く）	N:検索結果リファイン	10. 統合的発見（システムの多機能性を利用した発見）	**レコメン	**セレンディピティ	**トピック	**曖昧性回避	R:バリアフリー	P:ダウンロード	M:検索対象のタイプ	T:ダウンロードのデータ形式	Y:利用統計	Z1:API	11. NISTEPサービスにあるが本書にない項目（空項目）	Z:その他	仕掛かり中	除外	完	担当	ジャンル	表示名
55	http://www.epo.org/index.html		http://www.epo.org/index.html	1	欧州	Espacenet			0	0	date/relevance	1	0	1	0	0	0	0		0	0	0	1	1		0	1	0	0	0	0	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ/特許	0	0	0	0				完		特許等	Espacenet
57	http://ec.europa.eu/eurostat/web/main/home		http://ec.europa.eu/eurostat/web/main/home	1	欧州	Eurostat			1	0	Relevancy/Publication date	1	0	1	0	0	0	0		1	1	0	0	1		0	1	0	0	0	1	1		0	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ドキュメント	"excel, tsv, sdmx"	0	0	0	データそのものにはブラウジング機能でアクセス可能、ダウンロードも可能、検索はできない。			完		経済・産業統計/報告	Eurostat
58	https://euipo.europa.eu/eSearch/		https://euipo.europa.eu/eSearch/	1	欧州	eSearch plus			0	0	0	0	0	0	0	0	0	0		1	0	0	1	1		1	0	0	0	0	1	0		0	advanced search > trademark classification	0	0	0	0	0		0	0	0		0	0	0	0	0	1	商標（スクリーンショット）	0	0	0	0				完		特許等	eSearch plus
59	http://publicdata.eu/		http://publicdata.eu/	1	欧州	publicdata.eu			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	広告サイト	0	0	0	0				完		医療健康	publicdata.eu
60	http://risis.eu/	https://www.risis2.eu/	https://www.risis2.eu/	1	欧州	RISIS Datasets			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	データベース/データセット（スクリーンショット）	0	0	0	0	一種のメタサーチ、ソースコードへのリンク等もある			完		学術総合	RISIS Datasets
61	http://data.gov.uk/		http://data.gov.uk/	1	英国	Data.gov.uk			0	0	Bestmatch/Mostrecent	1	0	1	1	0	0	0		1	1	0	1	1		0	1	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		1 (related dataset)	0	1	0	0	1 (source へのDirect link)	データベース/データセット	Any	0	1	0	現在BETA版とのこと。「Publish your data」とデータ提供を盛んに依頼している。			完	大波さん	学術総合	Data.gov.uk
62	https://www.gov.uk/		https://www.gov.uk/	1	英国	"Science, engineering and technology (SET) Statistics"			0	0	relevance/updated(newest)/updated(oldest)	1	0	1	0	0	1	0		0	0	0	1	1		0	0	0	0	0	1	0		1	0	0	0	0	0	0		0	0	1		0	0	1	0	0	0	ドキュメント	0	0	0	0				完		学術総合	"Science, engineering and technology Statistics"
63	http://unistats.ac.uk/		http://unistats.ac.uk/	1	英国	UNISTATS			0	0	0	0	0	0	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	1		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	コース	0	0	0	0	postcodeを入力すると近くの大学を検索			完		大学情報	UNISTATS
64	http://www.hesa.ac.uk/		http://www.hesa.ac.uk/	1	英国	Finances of Higher Education Providers			0	0	0	0	0	0	0	0	0	0		0	0	0	0	1		0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ドキュメント/データセット	0	0	0	0				完		教育・学校統計/報告	Finances of Higher Education Providers
66	http://www.ons.gov.uk/		http://www.ons.gov.uk/	1	英国	ONS Gross Domestic Expenditure on Research and Development			0	0	relevance/release date/title	1	0	1	0	0	0	0		0	1	0	1	1		0	0	0	0	0	1	0		1	0	0	スクリーンショット	0	0	0		0	0	0		0	0	0	0	0	0	ドキュメント/データセット	"excel,csv"	0	0	0				完		経済・産業統計/報告	ONS Gross Domestic Expenditure
67	https://www.gov.uk/government/organisations/intellectual-property-office		https://www.gov.uk/government/organisations/intellectual-property-office	1	英国	英国特許庁データベース			0	0	relevance/updated(newest)/updated(oldest)	1	0	1	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	0		1	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ドキュメント	0	0	0	0				完		特許等	英国特許庁データベース
68	http://www.leidenranking.com/		http://www.leidenranking.com/	1	オランダ	CWTS Leiden Ranking			0	0	結果により変動（スクリーンショット）	0	0	0	0	0	1	1		0	1	1	1	0		0	0	0	0	0	0			0	0	0	1	1	0	0		0	0	1		0	0	0	0	0	1	データ（大学/研究機関）	excel; 生成されたデータでなくソース全体のDL（別サービス）	0	0	0	他のサイトと比べて高度なGUIを備える（検索BOXがない）			完		学術統計	CWTS Leiden Ranking
69	https://www.universiteitleiden.nl/		https://www.universiteitleiden.nl/	1	オランダ	"University-Industry Research Connections, CWTS"			1	0	0	0	0	0	0	0	0	0		0	1	0	1	1		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ページ（大学内）	0	0	0	0				完		その他	University-Industry Research Connections
70	https://www.leidenmanifesto.org/		https://www.leidenmanifesto.org/	1	オランダ	ライデン声明(Leiden manifesto for research Metrics)			0	0	0	0	0	0	0	0	0	0		0	0	0	0	0		0	0	0	0	0	0	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	-	0	0	0	0	ディスカバリでないので外すか？			完		その他	ライデン声明
71	http://www.bmbf.de/		http://www.bmbf.de/	1	ドイツ	Bundesbericht Forschung und Innovation / Research and Innovation in Germany			1	0	スクリーンショット	1	0	1	0	0	0	0		0	0	0	1	1		0	0	0	0	0	1	0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ドキュメント（PDF）	0	0	0	0				完		教育・学校統計/報告	Bundesbericht Forschung und Innovation
72	http://www.datenportal.bmbf.de/		http://www.datenportal.bmbf.de/	1	ドイツ	Daten Potal			詳細検索にあり	0	0	0	0	0	0	0	0	0		0	0	0	1	1		0	1	0	0	0		0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	1	データセット	"html, excel, csv, pdf"	0	0	0				完		教育・学校統計/報告	Daten Potal
73	http://www.dfg.de/		http://www.dfg.de/	1	ドイツ	Förderatlas 2015			1	0	Relevance/Up-to-Dateness	1	0	1	0	0	0	0		1	1	0	1	1		0	1	0	0	0	1	1		1	0	0	0	0	0	0		0	0	1		0	0	0	0	0	0	ページ/ドキュメント/人物	0	0	0	0				完		補助金情報	Förderatlas 2015
74	http://www.dpma.de/		http://www.dpma.de/	1	ドイツ	DEPATISnet　ドイツ特許庁　特許検索データベース			0	0	0	0	0	0	0	0	0	0		1	0	0	0	1		0	0	0	0	0		0		0	0	0	0	0	0	0		0	0	0		0	0	0	0	0	0	ページ/ドキュメント	0	0	0	0				完		特許等	ドイツ特許庁　特許検索データベース
76	http://www.dpma.de/dpma/veroeffentlichungen/statistiken/index.html		http://www.dpma.de/dpma/veroeffentlichungen/statistiken/index.html	1	ドイツ	Statistiken　ドイツ特許庁統計情報（74と同じサイトになってしまう）					0											0	0	1		0						0					0	0	0			0		0						0	0	特許（ページ）	0	0	0	0			1			特許等	ドイツ特許庁統計情報
